b0,b1,b2,b3,b4,b5
82,79,192,219,134,29
172,243,88,249,241,216
241,181,217,187,21,250
186,16,130,146,148,70
198,42,238,244,10,169
33,0,109,40,14,204
65,175,234,56,130,22
212,82,108,40,222,228
93,43,169,76,40,99
228,79,99,171,151,104
46,86,68,184,122,178
204,131,207,244,103,129
47,204,44,135,228,244
195,185,62,106,238,62
10,182,49,3,119,168
117,72,77,3,75,200
115,39,77,253,211,208
84,228,136,59,181,70
171,2,224,56,75,6
203,56,239,62,218,158
45,135,52,220,223,61
125,30,68,75,58,171
62,128,62,36,6,53
160,247,25,25,91,235
225,162,35,57,85,126
224,4,43,0,164,56
17,166,194,185,238,66
242,186,73,194,155,118
71,181,122,203,4,143
56,181,158,211,31,44
251,28,248,187,120,210
180,220,195,61,126,126
68,60,58,166,102,129
255,228,48,3,167,128
105,204,14,119,225,189
67,58,66,126,154,92
39,153,101,207,231,151
131,206,76,103,187,239
202,162,135,1,68,216
34,189,197,66,86,130
88,100,89,207,169,247
136,113,77,77,163,195
217,102,101,231,255,147
192,14,230,1,171,240
56,33,134,197,60,238
142,122,165,188,129,154
116,63,157,38,15,77
241,147,209,190,228,186
43,178,148,43,198,36
38,245,165,233,25,146
107,254,222,32,45,53
4,207,8,191,153,82
15,224,209,131,28,188
123,114,108,181,222,243
21,41,250,12,112,145
237,150,178,222,99,205
63,103,206,23,199,178
70,203,218,239,37,138
157,157,7,95,72,209
19,92,170,241,112,9
165,129,121,156,36,255
101,184,23,154,194,79
142,91,141,185,173,218
248,213,136,220,29,93
99,65,71,114,34,213
213,76,20,3,226,32
99,85,15,112,9,149
129,126,28,36,51,101
167,247,153,193,79,246
35,129,117,108,37,6
229,136,235,157,90,47
65,148,146,62,54,214
55,108,119,86,237,80
106,192,142,14,21,177
178,27,187,211,170,164
232,1,186,64,58,154
6,135,144,228,206,155
191,167,170,9,200,17
119,66,165,82,65,128
218,60,29,150,99,94
127,113,60,21,174,98
24,191,83,210,16,228
210,155,188,199,170,126
200,28,47,67,100,146
119,182,221,75,109,67
54,194,127,110,92,22
185,98,98,231,95,75
209,19,36,170,253,176
8,91,129,73,172,35
120,229,116,219,133,61
172,142,88,245,185,217
26,245,235,137,18,45
106,212,198,12,62,241
230,41,179,244,123,225
44,163,44,241,124,249
164,120,249,172,216,248
253,216,216,85,221,200
21,87,66,0,82,80
8,216,129,93,212,33
84,37,32,37,141,5
157,200,159,87,87,16
80,90,136,137,133,85
124,128,4,116,0,173
32,16,205,2,159,200
71,7,74,216,211,13
220,249,213,120,244,4
217,32,189,237,18,82
202,216,207,13,223,153
213,15,244,9,129,33
124,45,36,100,205,175
191,216,138,5,213,16
148,10,150,33,6,117
40,253,12,88,73,233
203,114,119,53,221,95
21,65,26,2,43,144
84,46,136,36,165,69
177,130,155,188,71,170
106,200,30,15,67,49
146,127,190,220,10,45
97,20,199,42,62,220
22,45,98,116,199,93
62,209,78,44,163,180
241,107,57,166,62,249
246,40,241,116,89,165
41,249,140,112,253,237
152,82,223,200,205,7
95,200,209,7,92,168
209,112,92,165,137,113
157,101,191,71,154,18
207,146,207,142,207,141
175,141,216,141,213,213
212,20,20,34,34,37
85,85,128,0,28,0
3,96,0,119,0,13
88,1,193,192,54,54
7,119,112,213,85,156
0,31,96,3,23,0
122,88,12,153,193,247
246,49,65,119,162,37
73,85,131,96,28,119
3,109,88,118,193,205
110,55,198,183,70,227
82,235,112,202,53,159
23,31,26,91,27,153
187,175,250,168,128,128
84,20,8,34,33,69
85,34,128,13,68,1
194,160,54,65,7,122
40,212,148,92,54,41
103,116,103,213,47,196
12,134,161,244,225,49
59,47,174,188,136,162
117,81,93,0,161,72
17,35,66,173,114,64
197,218,30,149,147,38
30,253,243,40,81,252
72,176,107,83,142,48
237,183,154,219,79,141
179,141,219,237,213,162
212,25,76,35,227,229
99,99,135,119,108,213
86,252,0,104,96,14
79,1,187,152,58,175
198,128,134,228,20,235
162,58,41,86,148,96
102,47,15,244,153,129
55,252,47,64,100,146
15,182,209,139,108,189
54,242,79,105,219,150
117,174,125,24,188,75
210,107,36,222,61,189
54,90,79,121,155,148
255,174,56,8,182,193
83,110,32,246,181,25
99,11,231,121,35,212
237,100,58,199,166,142
201,229,175,115,152,149
239,214,18,132,114,196
173,206,176,215,163,156
73,111,107,102,150,55
230,119,67,253,82,96
64,223,10,29,25,19
75,234,243,34,9,253
81,112,64,165,138,17
157,18,191,74,194,19
14,82,249,184,200,250
223,88,141,17,213,202
180,23,3,34,88,125
89,204,65,247,234,49
66,23,162,82,73,88
219,97,221,183,53,91
95,1,177,24,59,171
198,168,38,224,69,235
10,146,57,6,214,232
236,106,90,238,25,138
179,253,3,224,72,99
11,79,121,51,148,239
238,58,130,182,132,67
100,170,119,176,29,75
131,67,44,114,124,237
220,122,213,108,140,6
245,224,233,19,26,106
251,158,8,175,49,80
159,160,151,9,22,89
106,121,230,28,243,243
121,225,244,243,49,57
255,174,240,8,169,129
80,124,32,140,101,21
239,138,18,141,18,197
202,206,151,15,166,89
137,249,253,112,240,69
153,138,159,253,7,0
72,216,11,93,193,49
86,47,160,116,137,13
53,105,207,6,119,152
253,79,216,67,133,202
108,151,30,246,91,41
121,188,100,250,111,184
158,138,215,37,12,93
137,233,93,114,97,69
223,34,149,29,70,11
66,241,50,73,175,219
120,133,180,212,155,60
55,190,103,74,63,211
22,4,250,112,184,157
146,215,94,204,81,47
232,172,130,80,244,88
153,41,215,236,116,66
237,42,74,204,27,15
227,185,131,106,252,118
8,109,113,78,197,163
174,153,104,167,230,81
195,248,182,96,211,127
28,244,27,121,35,180
237,107,58,198,62,142
246,37,169,117,152,101
31,207,139,7,141,56
205,206,223,215,173,4
72,200,171,95,80,49
16,135,170,148,200,6
63,64,246,18,25,114
211,229,204,227,151,251
110,64,182,186,19,98
146,247,70,201,82,239
96,202,151,31,6,91
24,249,187,216,250,165
216,129,149,212,62,20
38,50,37,247,213,145
68,30,162,163,33,65
125,34,36,77,85,171
192,24,38,3,197,240
102,145,143,230,189,131
226,92,99,89,111,113
230,149,179,230,27,227
243,163,97,233,119,50
101,95,223,129,5,12
40,137,228,85,115,168
5,232,64,146,74,22
219,18,109,186,222,218
141,45,133,204,220,151
253,118,64,69,122,10
132,145,4,182,168,179
96,83,247,8,225,89
91,33,225,189,51,58
79,254,155,128,39,172
5,200,224,151,91,22
81,186,120,186,156,210
135,124,196,212,126,188
44,34,100,229,95,187
129,10,172,41,0,228
104,27,174,67,168,186
104,82,158,72,199,59
94,222,177,45,35,172
205,104,255,198,88,6
249,192,232,246,26,89
115,153,229,239,243,146
129,238,196,50,174,167
192,161,198,17,54,242
175,105,192,150,118,22
125,114,124,69,220,106
149,110,6,6,176,240
227,153,155,111,255,182
128,11,100,1,55,160
47,73,4,147,104,182
246,83,105,120,246,100
217,127,189,228,10,83
161,24,233,43,218,108
37,158,229,159,43,159
28,47,27,100,155,183
183,171,75,72,51,51
71,255,242,192,1,206
0,55,176,7,75,128
211,44,28,252,227,120
123,116,204,181,63,243
14,1,249,176,48,251
135,152,172,207,208,255
132,152,12,183,193,243
70,49,242,247,177,201
75,183,99,43,87,124
48,84,103,136,47,205
68,135,194,180,198,67
62,250,126,40,156,52
87,103,40,87,220,72
69,107,74,134,51,4
247,248,185,64,210,226
28,203,83,127,48,244
31,153,35,15,237,121
130,196,252,78,184,107
162,206,41,79,180,99
139,47,109,60,150,206
118,111,189,126,138,68
37,26,165,139,129,157
44,63,76,230,19,251
242,224,161,203,17,55
58,175,94,128,145,36
22,173,162,96,217,95
29,225,27,83,43,176
252,43,152,100,47,207
164,135,137,180,205,123
63,196,190,6,178,48
227,215,155,100,79,183
171,139,72,45,51,68
207,242,191,129,194,12
54,81,231,120,179,212
211,228,60,227,166,123
105,252,182,112,115,125
141,244,93,209,41,84
172,96,48,239,7,154
152,207,135,223,140,197
13,254,137,208,37,116
133,133,52,156,143,55
117,159,85,31,16,11
26,129,59,132,46,172
164,160,241,177,25,187
171,250,168,32,128,69
20,10,138,33,5,21
40,138,12,85,17,232
10,178,65,3,218,40
101,148,79,158,43,143
52,45,159,36,223,29
189,27,90,75,177,155
43,191,188,42,10,100
17,31,162,171,9,64
57,98,6,231,80,235
208,154,36,151,149,182
78,27,123,179,180,171
235,48,34,63,133,86
12,128,113,244,13,177
33,219,173,53,168,207
24,95,155,201,15,167
105,137,214,125,116,124
69,44,106,140,238,5
250,176,144,131,150,148
110,102,46,191,244,162
1,49,80,47,160,132
137,20,181,106,51,6
23,248,242,64,217,218
29,245,147,81,30,240
171,41,144,60,126,134
108,36,254,229,184,43
154,196,47,142,164,141
161,181,217,59,21,238
186,18,162,146,193,70
206,34,239,181,74,139
3,5,56,120,142,204
213,175,252,24,128,99
212,15,100,33,151,165
62,73,142,59,125,182
180,91,99,41,183,124
123,84,108,176,46,243
132,169,236,176,114,243
141,201,237,215,114,212
85,204,40,23,228,66
67,170,90,104,25,158
67,255,58,96,30,159
3,39,24,125,219,204
85,167,232,25,194,67
246,90,97,121,159,36
255,29,184,27,90,195
177,142,107,189,190,42
90,52,25,151,35,254
93,96,57,71,6,226
216,235,77,218,51,213
151,228,30,67,163,58
105,126,158,100,39,63
165,222,9,149,49,126
15,164,49,137,167,189
121,202,68,247,26,185
91,130,225,172,75,56
235,62,218,62,45,150
52,222,119,61,61,94
78,65,59,186,46,170
148,160,6,49,0,247
168,25,72,67,227,74
99,115,31,117,251,21
16,186,10,146,145,6
198,168,238,224,90,171
9,128,57,124,6,228
96,235,175,26,40,155
148,87,174,40,72,180
75,83,43,48,252,63
152,102,15,207,241,135
129,188,204,58,127,230
156,3,231,96,99,215
15,100,89,151,169,254
72,112,59,77,134,179
220,227,229,123,99,132
183,108,179,86,243,240
105,225,142,115,61,189
254,90,80,57,152,134
255,212,232,4,58,64
166,154,17,231,146,179
206,195,231,174,99,200
191,103,82,23,208,210
68,156,218,183,125,131
84,92,112,41,109,132
102,220,175,237,112,130
197,148,78,158,43,167
52,41,223,36,117,29
173,11,88,201,49,223
111,181,22,139,10,101
57,31,142,235,13,170
57,216,22,245,194,105
22,94,106,121,62,28
238,51,122,183,244,131
65,52,114,47,45,212
156,212,55,124,39,84
101,208,47,148,132,142
52,181,183,51,27,95
251,177,0,171,168,16
40,66,132,74,68,171
26,176,59,131,134,172
108,224,238,251,26,168
187,128,82,172,8,192
225,94,27,33,51,189
47,234,76,130,27,244
83,161,40,233,44,90
108,233,158,250,127,40
156,28,87,99,104,87
118,72,85,123,72,4
179,64,179,242,19,225
210,227,52,203,127,63
52,30,31,35,51,29
127,251,68,0,178,160
19,193,2,230,40,75
244,75,33,43,61,44
62,76,230,59,251,246
160,161,97,17,39,42
173,220,0,213,96,28
7,3,96,216,119,29
205,91,87,193,176,70
59,138,246,173,9,96
201,103,31,103,219,23
197,186,70,154,154,231
135,139,204,205,39,255
205,192,7,214,0,196
112,30,173,131,32,220
125,29,108,75,70,235
50,234,63,202,22,7
18,112,218,221,157,141
95,93,193,17,86,42
160,116,1,13,32,41
205,4,119,200,173,71
80,194,208,158,76,151
59,246,94,161,121,33
36,237,45,186,204,218
143,253,133,128,92,156
9,119,97,101,87,39
128,93,204,9,87,225
96,67,39,10,125,217
28,85,235,104,18,54
66,215,122,76,84,155
232,55,162,71,73,90
211,97,140,247,61,249
94,80,225,56,155,46
215,188,172,74,112,235
29,154,59,95,150,177
14,99,169,191,104,122
22,76,146,123,246,220
161,109,113,38,197,173
238,152,210,167,220,193
197,126,54,132,55,100
167,87,177,208,75,180
139,43,53,60,63,14
102,25,191,243,250,1
224,144,51,22,135,250
100,192,159,190,23,10
50,89,23,217,234,69
242,26,145,211,134,180
236,227,58,251,126,136
180,37,83,37,128,253
156,24,95,99,201,23
103,106,87,214,24,68
115,202,173,231,0,211
216,28,229,195,123,150
116,174,125,48,188,79
146,107,142,222,45,173
52,216,207,61,223,158
85,15,56,9,158,193
127,46,36,28,181,163
115,25,117,251,229,16
163,138,145,109,6,166
200,225,239,91,50,145
191,198,186,6,226,144
235,70,154,50,231,151
203,206,71,39,186,221
202,141,87,5,192,88
150,9,214,113,116,125
165,44,89,140,233,253
250,112,80,157,136,151
93,86,81,64,120,162
12,209,81,252,160,176
113,19,141,170,237,216
10,213,193,12,22,41
226,116,115,93,45,241
76,209,163,252,185,96
114,231,13,203,217,215
37,244,93,145,41,94
172,97,32,239,45,26
156,203,135,127,44,212
28,252,35,120,101,116
207,133,63,140,142,13
245,177,209,27,180,171
171,48,40,63,132,70
12,170,241,240,9,177
129,123,188,36,170,101
176,31,155,131,15,172
121,136,236,253,90,248
65,136,202,61,95,22
65,26,122,43,156,148
47,118,36,149,117,182
5,27,112,139,181,149
43,30,12,59,49,230
191,179,226,11,227,81
35,112,173,117,144,197
30,158,139,39,37,61
221,142,85,93,184,1
90,192,33,142,5,61
176,142,91,149,185,174
26,248,179,136,211,237
92,226,193,123,78,36
179,181,179,235,27,226
59,163,86,169,112,96
101,143,15,157,153,143
95,253,145,0,94,168
9,32,65,109,10,38
201,21,239,106,18,150
18,198,114,206,253,207
168,87,136,72,77,75
75,195,51,38,127,253
252,0,80,96,8,143
1,85,152,32,31,197
3,6,136,120,229,76
219,131,253,172,96,88
239,9,218,153,117,135
229,28,195,139,126,109
52,62,207,38,47,157
244,143,81,53,144,175
30,144,155,38,151,189
230,74,83,251,24,224
187,219,18,165,186,193
154,142,63,133,182,12
155,113,247,181,177,75
27,163,59,169,126,168
100,32,79,165,11,137
137,45,125,108,196,70
254,170,232,32,10,69
1,26,136,43,133,68
44,130,164,244,65,185
42,58,236,22,138,226
101,11,95,137,49,13
111,169,198,136,118,229
77,107,131,198,44,102
244,239,233,58,130,110
132,94,164,169,33,176
109,59,142,206,173,175
160,216,137,29,213,107
84,6,48,32,247,133
25,76,139,227,245,35
97,13,119,41,197,92
118,129,109,100,38,199
165,238,201,146,175,126
192,148,46,22,36,178
117,179,221,27,229,75
163,131,41,108,124,102
236,111,234,238,130,10
164,81,1,168,168,56
80,70,200,138,239,85
10,144,9,6,129,104
228,38,91,165,249,169
144,248,126,152,204,39
223,229,197,3,150,136
110,101,78,191,131,162
12,105,81,238,96,178
191,19,194,26,230,83
139,248,237,32,218,205
29,143,203,93,135,49
92,223,161,125,9,36
73,109,171,102,216,55
237,199,66,214,210,76
108,219,238,253,162,168
89,64,73,226,11,115
81,53,240,175,17,144
154,190,151,130,38,76
85,251,232,16,162,66
145,90,70,161,154,225
63,139,46,13,60,177
206,115,183,189,235,74
82,51,24,215,251,220
64,165,106,17,134,18
188,242,194,121,206,92
247,185,121,74,228,227
11,187,121,42,180,236
3,58,224,126,139,12
37,57,229,142,243,157
169,239,88,114,145,205
198,183,214,227,68,107
114,174,53,192,183,22
19,90,114,241,157,201
191,87,122,16,84,146
136,54,197,71,110,130
214,164,76,97,171,239
56,34,158,197,71,46
130,220,164,77,113,171
197,184,38,154,197,231
142,147,205,166,231,217
235,197,242,38,145,213
230,180,19,227,34,227
125,75,116,67,53,42
127,12,28,25,227,99
243,119,97,245,87,49
0,95,168,9,8,65
105,74,38,99,21,255
122,16,20,146,130,54
196,87,110,168,86,160
72,97,11,79,41,51
156,111,239,110,130,150
164,70,97,170,255,56
8,30,193,67,46,34
124,181,92,115,1,109
248,38,208,197,236,158
146,247,38,201,93,239
97,82,151,32,198,93
30,249,75,40,227,60
91,126,105,180,62,123
38,60,189,246,114,81
125,216,164,85,209,168
20,184,66,50,202,87
207,24,71,155,202,207
167,15,137,217,141,117
253,197,16,86,138,136
101,5,79,136,131,141
84,109,192,46,214,4
172,112,176,237,147,154
222,239,141,42,141,204
5,215,224,148,67,22
42,122,116,28,157,35
119,77,117,83,197,0
230,136,27,229,67,163
130,105,108,94,102,233
63,234,110,2,30,176
83,35,136,253,109,88
70,193,202,238,55,10
